      296	2021-04-01 06:21:54	1	4	3	0
      263	2021-04-01 06:22:31	1	4	1	0
      273	2021-04-01 06:38:25	1	4	1	0
      248	2021-04-01 07:20:19	1	4	1	0
       18	2021-04-01 07:35:36	1	4	1	0
      209	2021-04-01 07:55:33	1	4	1	0
       15	2021-04-01 08:07:36	1	4	1	0
      395	2021-04-01 08:12:39	1	4	1	0
      395	2021-04-01 08:12:41	1	4	1	0
       39	2021-04-01 08:13:30	1	4	1	0
      358	2021-04-01 08:13:58	1	4	1	0
       81	2021-04-01 08:27:00	1	4	1	0
      360	2021-04-01 08:27:30	1	4	1	0
      305	2021-04-01 08:31:28	1	4	1	0
      305	2021-04-01 08:31:29	1	4	1	0
       96	2021-04-01 08:39:17	1	4	1	0
      405	2021-04-01 08:43:35	1	4	1	0
      405	2021-04-01 08:43:38	1	4	1	0
      206	2021-04-01 08:56:56	1	4	1	0
      201	2021-04-01 09:10:17	1	4	1	0
      350	2021-04-01 09:12:08	1	4	1	0
       68	2021-04-01 09:12:55	1	4	1	0
       98	2021-04-01 09:40:49	1	4	1	0
      397	2021-04-01 09:59:58	1	4	1	0
      261	2021-04-01 10:22:37	1	4	1	0
      206	2021-04-01 14:54:18	1	5	1	0
      405	2021-04-01 14:54:22	1	5	1	0
      405	2021-04-01 14:54:28	1	5	1	0
      360	2021-04-01 14:54:40	1	5	1	0
      362	2021-04-01 15:02:11	1	5	1	0
      418	2021-04-01 15:03:00	1	5	1	0
      385	2021-04-01 15:03:09	1	5	1	0
      383	2021-04-01 15:03:17	1	5	1	0
      277	2021-04-01 15:03:24	1	5	1	0
      296	2021-04-01 15:04:13	1	5	3	0
      399	2021-04-01 15:04:52	1	5	1	0
       39	2021-04-01 16:24:32	1	5	1	0
      248	2021-04-01 16:32:58	1	5	1	0
      397	2021-04-01 16:46:46	1	5	1	0
      345	2021-04-01 16:56:24	1	5	1	0
       18	2021-04-01 17:20:21	1	5	1	0
       15	2021-04-01 17:20:24	1	5	1	0
      359	2021-04-01 17:24:01	1	5	1	0
       68	2021-04-01 17:25:35	1	5	1	0
       17	2021-04-01 17:29:29	1	5	1	0
      358	2021-04-01 17:30:02	1	5	1	0
      305	2021-04-01 17:35:04	1	5	1	0
      305	2021-04-01 17:35:06	1	5	1	0
